,01,02,03,04,05,019,032,036,037,038,0250,P3,P4,P42,P45,P75,1,13,18,22,33,69,79,343,362,372,Es
10:63,-1,αποκριθεισ δε ειπεν αυτη ο ισ μαρθα μαρθα μεριμνασ και τυρβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτη ο κυριοσ ισ κυριοσ μαρ μαρθα μεριμνασ και θορυβαζη τυρβαζη θορυβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτη ο ισ ο ισ ειπεν αυτη μαρθα μαρθα μεριμνασ και θορυβαζη περι πολλα ,αποκριθεισ δε ο ιησ ειπεν αυτη μαρθα μαρθα θορυβαζη ,-1,-1,-1,-1,-1,-1,αποκριθεισ δε ειπεν αυτη ο κυριοσ μαρθα μαρθα μερι κ θορυβαζη περι πολλα ,-1,-1,αποκριθεισ δε ο κυριοσ ει αυτηι μαρθα μαρθα μ και θορυβαζη περι πολλα ,αποκρι δε ειπεν αυτη ο κυριοσ μαρθ μαρθα μεριμνασ και θορυβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτη ο ισ μαρθα μαρθα μεριμνασ και θορυ περι πολλα ,απο δε ο ισ ειπεν αυτη μαρθα μαρθα μεριμνασ και τυρβα περι πολλα ,αποκριθεισ δε ο ισ ειπεν αυτη μαρθα μαρθα μεριμνασ και τυρβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτηι ο ισ μαρθα μαρθα μεριμνασ και θο περι πολλα ,αποκριθεισ δε ειπεν αυτη ο κυριοσ μαρθα μαρ μεριμνασ και θορυβαζει περι πολλα ,αποκριθεισ δε ο ιησουσ ειπεν αυτη μαρ μαρθα μεριμνασ και τυρβαζεισ περι πολλα ,-1,απο δε ο ισ ειπεν αυτη μαρθα μαρθα μεριμνασ και τυρβαζη πε πολλα ,αποκριθεισ δε ειπεν αυτη ο ισ μαρθα μαρθα μεριμνασ και τυρβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτη ο ιησουσ μαρθα μαρθα μεριμνασ και θορυβαζη περι πολλα ,αποκριθεισ δε ειπεν αυτη ο ιησουσ μαρθα μαρθα μεριμνασ και τυρβαζη περι πολλα
10:64,-1,δε,γαρ,δε,μαρια την αγαθην μεριδα εξελεξατο η ουκ αφαιρεθησεται αυτησ ,-1,-1,-1,-1,-1,-1,δε,-1,-1,γαρ,γαρ,γαρ,δε,δε,δε,γαρ,γαρ,-1,δε,δε,δε,δε
20:1,-1,και εγενετο εν μια των ημε εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζομενου επε οι ιερεισ και γραμμα συν τοισ πρεσβυτεροισ ,ημερων,ημερων,ημερων,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ημερων,ημερων εκεινων,ημερων εκεινων,ημερων εκεινων,ημερων εκεινων,ημερων εκεινων,-1,ημερων εκεινων,-1,ημερων εκεινων,ημερων εκεινων
20:2,-1,εν τω ιερω,εν τω ιερω,εν τω ιερω,εν τω ιερω,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εν τω ιερω,εν τω ιερω,εν τω ιερω,,εν τω ιερω,εν τω ιερω,-1,εν τω ιερω,-1,εν τω ιερω,εν τω ιερω
20:3,-1,και εγενετο εν μια των ημε εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζομενου επε οι ιερεισ και γραμμα συν τοισ πρεσβυτεροισ ,και εγενετο εν μια των ημερων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζο επεστησαν οι αρχιερεισ και οι γραμ συν τοισ πρεσ ,αρχιερεισ και οι γραμματεισ,εγενετο δε εν μια των ημερων διδασκοντοσ αυτου εν τω ιερω τον λαον και ευαγγελιζομενου επεστησαν οι αρχιερισ και οι γραμματεισ συν τοισ πρεσβυτεροισ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αρχιερεισ και οι γραμματεισ,και εγε εν μια των ημερων εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζο επεστησαν οι γραμματεισ και οι αρ συν τοισ πρεσ ,και εγενετο εν μια των ημερων εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζομενου επεστησαν οι ιερεισ και οι γραμματεισ συν τοισ πρεσβυτεροισ ,και εγενετο εν μιαι των ημερων εκεινων διδασκον αυτου τον λαον εν τωι ιερωι και ευαγ γελιζομενου επεστησαν ο οι ιερεισ και οι γραμ συν τοισ πρεσβυτεροισ ,αρχιερεισ και οι γραμματεισ,γραμματεισ και οι αρχιερεισ,-1,και εγενετο εν μια των ημερων εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζομε επεστησαν οι ιερεισ και οι γραμμα συν τοισ πρεσβυτεροισ ,-1,αρχιερεισ και οι γραμματεισ,αρχιερεισ και οι γραμματεισ
20:4,-1,ιερεισ,αρχιερεισ,αρχιερεισ,εγενετο δε εν μια των ημερων διδασκοντοσ αυτου εν τω ιερω τον λαον και ευαγγελιζομενου επεστησαν οι αρχιερισ και οι γραμματεισ συν τοισ πρεσβυτεροισ ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αρχιερεισ,και εγε εν μια των ημερων εκεινων διδασκοντοσ αυτου τον λαον εν τω ιερω και ευαγγελιζο επεστησαν οι γραμματεισ και οι αρ συν τοισ πρεσ ,ιερεισ,ιερεισ,αρχιερεισ,αρχιερεισ,-1,ιερεισ,-1,αρχιερεισ,αρχιερεισ
20:5,-1,και ειπον προσ αυτον λεγον ειπε ημιν εν ποια εξου ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπαν,και ειπον προσ αυτον εν ποια εξουσια ταυτα ποιεισ η τισ ε ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον ειπε ημειν εν ποια εξουσια ταυτα ποιεισ και τισ εστιν ο δουσ σοι ταυτην την εξουσιαν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,λε προσ αυτον ειπον ημιν εν ποιαι εξουσιαι ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπο προσ αυτον λεγοντεσ ειπε ημιν εν ποια ε ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον λεγοντεσ ειπε ημιν εν ποια εξουσια ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον λεγοντεσ ειπον ημιν εν ποιαι εξουσιαι ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον λεγοντεσ ειπον ημιν εν ποια εξουσια ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξου ταυτην ,και ειπαν,-1,και ειπον προσ αυτον λεγοντεσ ειπε ημιν εν ποια εξουσια ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,-1,και ειπον προσ αυτον λεγοντεσ ειπε ημιν εν ποια εξουσια ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον λεγοντεσ ειπε ημιν εν ποια εξουσια ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην
20:6,-1,και ειπον προσ αυτον λεγον ειπε ημιν εν ποια εξου ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπαν λε προσ αυτον ει ημιν εν ποια εξου ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον εν ποια εξουσια ταυτα ποιεισ η τισ ε ο δουσ σοι την εξουσιαν ταυτην ,και ειπον προσ αυτον ειπε ημειν εν ποια εξουσια ταυτα ποιεισ και τισ εστιν ο δουσ σοι ταυτην την εξουσιαν ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,λε προσ αυτον ειπον ημιν εν ποιαι εξουσιαι ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,προσ αυτον λεγοντεσ,προσ αυτον λεγοντεσ,προσ αυτον λεγοντεσ,προσ αυτον λεγοντεσ,προσ αυτον λεγοντεσ,-1,προσ αυτον λεγοντεσ,-1,προσ αυτον λεγοντεσ,προσ αυτον λεγοντεσ
20:7,-1,ειπον,και ειπαν λε προσ αυτον ει ημιν εν ποια εξου ταυτα ποιεισ η τισ εστιν ο δουσ σοι την εξουσιαν ταυτην ,ειπον,ειπον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ειπον,ειπε,ειπον,ειπον,ειπον,ειπε,-1,ειπον,-1,ειπον,ειπον
20:8,-1,υμασ καγω,υμασ καγω,αποκρι δε ο ισ ειπεν προσ αυτουσ ερωτησω υμασ κα ενα λογον και ειπατε μοι ,υμασ καγω,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αποκριθεισ δε ειπεν προσ αυτουσ ερωτησω υμασ και εγω λο και ειπατε μοι ,υμασ καγω,υμασ καγω,υμασ καγω,υμασ καγω,ο δε αποκριθεισ ειπεν ερωτησω κα υμασ λογον και ειπατε μοι ,-1,υμασ καγω,-1,υμασ καγω,υμασ καγω
20:9,-1,αποκριθεισ δε ειπεν προσ αυ ερωτησω υμασ καγω λο ενα και ειπατε μοι ,αποκριθεισ δε ειπεν ειπε προσ αυτουσ ερωτησω υμασ καγω λογον και ει μοι ,ενα λογον,ενα λογον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αποκριθεισ δε ειπεν προσ αυτουσ ερωτησω υμασ και εγω λο και ειπατε μοι ,α δε ειπεν προσ αυτουσ ερωτη υμασ καγω ενα λο και ειπατε μοι ,ενα λογον,ενα λογον,αποκριθεισ δε ειπεν προσ αυτουσ ερωτησω υμασ καγω λογον και ειπα μοι ,ο δε αποκριθεισ ειπεν ερωτησω κα υμασ λογον και ειπατε μοι ,-1,ενα λογον,-1,ενα λογον,ενα λογον
20:10,-1,ενα,,ενα,ενα,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,ενα,ενα,ενα,,,-1,ενα,-1,ενα,ενα
20:11,-1,οι δε συνελογισαν προσ εαυτουσ λεγοντεσ οτι εαν ειπωμεν εξ ουρανου ερει δια τι ουν ουκ επιστευσα αυτω ,συνελογισαντο,οι δε συνελογιζοντο προσ εαυτουσ λεγοντεσ ε ειπωμεν εξ ουρανου ερει ημ δια τι ουν ουκ επι αυτω ,ο δε συνελογιζοντο προσ εαυτουσ λεγοντεσ οτι εαν ειπωμεν εξ ουρανου ερι δια τι ουν ουκ επιστευσατε αυτω ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,διελογισαντο,συνελογισαντο,συνελογισαντο,συνελογισαντο,συνελογισαντο,συνελογισαντο,-1,οι δε συνελογι προσ εαυτουσ λεγοντεσ οτι ε ειπωμεν εξ ουρανου ερει δια τι ουν ου επιστευσατε αυτω ,-1,συνελογισαντο,συνελογισαντο
20:12,-1,οτι,,,οτι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,οτι,οτι,οτι,οτι,οτι,οτι,-1,οτι,-1,οτι,οτι
20:13,-1,δια τι ουν,δια τι,δια τι ουν,δια τι ουν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,δια τι ουν,δια τι,δια τι,δια τι,δια τι ουν,οι δε συνελογισαντο προσ ε λεγοντεσ οτι εαν ειπωμεν εξ ουρανου ερει δι τι ουκ επιστευσατε αυτω ,-1,δια τι ουν,-1,δια τι ουν,δια τι ουν
20:14,-1,πασ ο λαοσ,ο λαοσ απασ,πασ ο λαοσ,ο λαοσ απασ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ο λαοσ απασ,πασ ο λαοσ,πασ ο λαοσ,πασ ο λαοσ,ο λαοσ απασ,πασ ο λαοσ,-1,πασ ο λαοσ,-1,πασ ο λαοσ,πασ ο λαοσ
20:15,-1,ειναι,ειναι,ειναι,γεγονεναι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ειναι,γεγονεναι,ειναι,ειναι,ειναι,γεγονεναι,-1,ειναι,-1,ειναι,ειναι
20:16,-1,ειδεναι,και απεκριθησαν μη ειδε ποθεν ,ειδεναι,ειδεναι,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ειδεναι,και απεκριθησαν μη ει το ποθεν ,ειδεναι,ειδεναι,ειδεναι,ειδεναι το,-1,ειδεναι,-1,ειδεναι,ειδεναι
20:17,-1,ποθεν,ποθεν,ποθεν,ποθεν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ποθεν,ποθεν,ποθεν,ποθεν,ποθεν,ποθεν,-1,ποθεν,-1,ποθεν,ποθεν
20:18,-1,και ο,και ο,και ο,και ο,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και ο,και ο,και ο,και ο,και ο,και ο,-1,και ο,-1,και ο,και ο
20:19,-1,τισ,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,τισ,,,,τισ,-1,,-1,τισ,τισ
20:20,-1,και,και,και,και,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και τω,και,και,και,και,και,-1,και,-1,και,και
20:21,-1,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπε δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξ καινον ,και καιρω απεστειλεν απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρ του αμπελωνοσ δωσουσιν αυτω οι δε γεωργοι εξαπεστειλαν αυτον δειραντεσ κυριε ,εν τω,καιρω δε απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω δειραντεσ δε αυτον εξαπεστειλαν κενον ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και τω καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτωι οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,και εν καιρω απεστειλεν προσ τουσ γε δουλον ινα απο του καρπου του αμπε δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κυριε ,και εν καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δηραντεσ αυτον εξαπεστειλαν κενον ,και εν καιρωι απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτωι οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,και καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσει αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,-1,και εν καιρω απεστειλε προσ τουσ γεωρ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλο εξαπεστειλαν κενον ,-1,και εν καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειπαντεσ αυτον εξαπεστειλαν κενον ,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον
20:22,-1,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπε δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξ καινον ,και καιρω απεστειλεν απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρ του αμπελωνοσ δωσουσιν αυτω οι δε γεωργοι εξαπεστειλαν αυτον δειραντεσ κυριε ,και εν τω καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμ δωσιν αυτω οι δε γεωργοι διραντεσ αυτον εξαπεστειλαν κενον ,καιρω δε απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω δειραντεσ δε αυτον εξαπεστειλαν κενον ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και τω καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτωι οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,και εν καιρω απεστειλεν προσ τουσ γε δουλον ινα απο του καρπου του αμπε δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κυριε ,και εν καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δηραντεσ αυτον εξαπεστειλαν κενον ,και εν καιρωι απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτωι οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,απο του καρπου του αμπελωνοσ δωσουσιν αυτω,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσει αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον ,-1,και εν καιρω απεστειλε προσ τουσ γεωρ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλο εξαπεστειλαν κενον ,-1,και εν καιρω απεστειλε προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειπαντεσ αυτον εξαπεστειλαν κενον ,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπελωνοσ δωσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξαπεστειλαν κενον
20:23,-1,και εν καιρω απεστειλεν προσ τουσ γεωργουσ δουλον ινα απο του καρπου του αμπε δωσουσιν αυτω οι δε γεωργοι δειραντεσ αυτον εξ καινον ,εξαπεστειλαν,εξαπεστειλαν,εξαπεστειλαν,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εξαπεστειλαν,εξαπεστειλαν,εξαπεστειλαν,εξαπεστειλαν,εξαπεστειλαν,εξαπεστειλαν,-1,εξαπεστειλαν,-1,εξαπεστειλαν,εξαπεστειλαν
20:24,-1,κακεινον,και τουτον,και τουτον,και τουτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και τουτον,και τουτον,και τουτον,και τουτον,και τουτον,και τουτον,-1,και τουτον,-1,και τουτον,και τουτον
20:25,-1,ειπεν δε ο κυριοσ του αμπελωνοσ τι ποιησω πεμψω τον υιον μου τον αγαπητον ισωσ του ιδοντεσ εντραπησονται ,ειπεν ειπε δε ο κυριοσ του αμπελωνοσ τι ποιησω πεμ τον υιον μου τον αγαπητον ισωσ του εντραπησονται ,τουτον,τουτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,τουτον,τουτον ιδοντεσ,τουτον ιδοντεσ,τουτον,τουτον,τουτον ιδοντεσ,-1,τουτον ιδοντεσ,-1,τουτον ιδοντεσ,τουτον ιδοντεσ
20:26,-1,διελογισαντο,διελογιζοντο,ιδοντεσ δε αυτον οι γεωργοι διελο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτινωμεν αυτον και ημων εσται η κληρονομια ,διελογιζοντο,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ιδοντεσ δε αυτον οι γεωργοι διελογιζον προσ αλληλουσ λεγοντεσ ουτοσ εστιν ο κλη αποκτεινωμεν αυτον και ημων εσται η κληρονομια ,ιδοντεσ δε αυτον οι γεωργοι διε προσ εαυ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευ αποκτεινωμεν αυτον ινα ημων γενηται η κλη ,διελογιζοντο,διελογιζοντο,διελογιζοντο,διελογιζοντο,-1,ιδοντεσ δε αυτον οι γεωργοι δι προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε απο αυτον ινα ημων γενηται η κληρονομια ,-1,διελογιζοντο,διελογιζοντο
20:27,-1,εαυτουσ,αλληλουσ,εαυτουσ,αλληλουσ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αλληλουσ,ιδοντεσ δε αυτον οι γεωργοι διε προσ εαυ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευ αποκτεινωμεν αυτον ινα ημων γενηται η κλη ,εαυτουσ,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ ε λεγοντεσ ουτοσ εστιν ο κληρονο δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,αλληλουσ,εαυτουσ,-1,εαυτουσ,-1,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ εαυτου λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,εαυτουσ
20:28,-1,ιδοντεσ δε αυτον οι γεωργοι διελογισαντο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κλη αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδοντεσ δε αυτον οι γε διελογιζοντο προσ αλληλουσ λεγον ουτοσ εστιν ο κλη αποκτεινω αυτον ινα ημων γενηται η κληρονομι ,κληρονομοσ δευτε,κληρονομοσ δευτε,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,ιδοντεσ δε αυτον οι γεωργοι διελογιζον προσ αλληλουσ λεγοντεσ ουτοσ εστιν ο κλη αποκτεινωμεν αυτον και ημων εσται η κληρονομια ,κληρονομοσ,κληρονομοσ δευτε,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ ε λεγοντεσ ουτοσ εστιν ο κληρονο δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,κληρονομοσ δευτε,κληρονομοσ δευτε,-1,κληρονομοσ δευτε,-1,κληρονομοσ δευτε,κληρονομοσ δευτε
20:29,-1,ιδοντεσ δε αυτον οι γεωργοι διελογισαντο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κλη αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδοντεσ δε αυτον οι γε διελογιζοντο προσ αλληλουσ λεγον ουτοσ εστιν ο κλη αποκτεινω αυτον ινα ημων γενηται η κληρονομι ,και ημων εσται,ιδοντεσ δε αυτον διελογιζοντο προσ αλληλουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,και ημων εσται,ιδοντεσ δε αυτον οι γεωργοι διε προσ εαυ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευ αποκτεινωμεν αυτον ινα ημων γενηται η κλη ,ιδοντεσ δε αυτον οι γε διελογιζοντο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ ε λεγοντεσ ουτοσ εστιν ο κληρονο δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ αλληλουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδον δε αυτον οι γεωργοι διελογιζοντο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,-1,ιδοντεσ δε αυτον οι γεωργοι δι προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε απο αυτον ινα ημων γενηται η κληρονομια ,-1,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ εαυτου λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια ,ιδοντεσ δε αυτον οι γεωργοι διελογιζοντο προσ εαυτουσ λεγοντεσ ουτοσ εστιν ο κληρονομοσ δευτε αποκτεινωμεν αυτον ινα ημων γενηται η κληρονομια
20:30,-1,αυτον,αυτον,αυτον,αυτον,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,αυτον,αυτον,και εκβαλοντεσ εξω του αμπελωνοσ απε τι ουν ποιησει αυτοισ ο κυριοσ του αμπελωνοσ ,αυτον,αυτον,αυτον,-1,αυτον,-1,αυτον,αυτον
20:31,-1,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ οι δε ακουσαντεσ ειπον μη γενοι ,ελευσεται και απολεσει τουσ γε τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπαν μη γενοιτο ,ελευσε και απολεσι τουσ γεωργουσ τουτουσ και δωσι τον αμπελωνα αλλοισ ακουσαντεσ δε ειπον μη γενοιτο ,ελευσεται και απολεσει τουσ γεωργουσ και δωσει τον αμπελωνα αλλοισ οι δε ακουσαντεσ ειπαν μη γενοιτο ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,εκεινουσ,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελω αλλοισ ακουσαν δε ειπον μη γενοι ,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπον μη γενοιτο ,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπαν μη γενοιτο ,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπαν μη γενοιτο ,εκεινουσ,-1,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμ αλλοισ ακουσαντεσ δε ειπον μη γενοιτο ,-1,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπαν μη γενοιτο ,ελευσεται και απολεσει τουσ γεωργουσ τουτουσ και δωσει τον αμπελωνα αλλοισ ακουσαντεσ δε ειπον μη γενοιτο
20:32,-1,επ,επ,επ,επ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,επ,πασ ο πεσων απ εκεινον τον λιθον συνθλασθησεται ε ον δ αν πεσει λικ αυτον ,επ,επ,επ,επ,-1,επ,-1,επ,επ
